Object,ComboKey,PriceListSFID,ProductSFID,AccountSFID,ExistingRecordID,CurrentPrice,NewPrice,Action,SFResult,FailureReason
Price_List_Entry__c,ACC120 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000at3jQAA,,a1W2K00000FiR8jUAF,85.38,85.380000,UPDATE,,
Price_List_Entry__c,ACC120 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000at3jQAA,,a1W2K00000FiR8kUAF,81.38,81.380000,UPDATE,,
Price_List_Entry__c,ACC166 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t2K000006XREoQAO,,a1W2K00000FsPwGUAV,68.04,68.040000,UPDATE,,
Price_List_Entry__c,ACC166 - COREPART - USD,a1U2K000009nrmLUAQ,01t2K000006XREoQAO,,a1W2K00000FsQ4AUAV,53.36,53.360000,UPDATE,,
Price_List_Entry__c,ACC166 - COREDIST - USD,a1U2K000009nrmMUAQ,01t2K000006XREoQAO,,a1W2K00000FsPwAUAV,50.7,50.700000,UPDATE,,
Price_List_Entry__c,ACC166 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t2K000006XREoQAO,,a1W2K00000FsQ5qUAF,48.03,48.030000,UPDATE,,
Price_List_Entry__c,ACC200 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000ar8xQAA,,a1W2K00000FiR5oUAF,4.09,4.090000,UPDATE,,
Price_List_Entry__c,ACC200 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000ar8xQAA,,a1W2K00000FiR5qUAF,3.23,3.230000,UPDATE,,
Price_List_Entry__c,ACC200 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000ar8xQAA,,a1W2K00000FiR5pUAF,3.07,3.070000,UPDATE,,
Price_List_Entry__c,ACC200 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000ar8xQAA,,a1W2K00000FiR5nUAF,2.9,2.900000,UPDATE,,
Price_List_Entry__c,ACC210 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arCBQAY,,a1W2K00000FiRBnUAN,6.13,6.130000,UPDATE,,
Price_List_Entry__c,ACC210 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arCBQAY,,a1W2K00000FiRBlUAN,4.83,4.830000,UPDATE,,
Price_List_Entry__c,ACC210 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arCBQAY,,a1W2K00000FiRBkUAN,4.59,4.590000,UPDATE,,
Price_List_Entry__c,ACC210 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arCBQAY,,a1W2K00000FiRBmUAN,4.35,4.350000,UPDATE,,
Price_List_Entry__c,ACC215 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arCLQAY,,a1W2K00000FiQyOUAV,11.0,11.000000,UPDATE,,
Price_List_Entry__c,ACC215 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arCLQAY,,a1W2K00000FiQwWUAV,8.68,8.680000,UPDATE,,
Price_List_Entry__c,ACC215 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arCLQAY,,a1W2K00000FiQpBUAV,8.25,8.250000,UPDATE,,
Price_List_Entry__c,ACC215 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arCLQAY,,a1W2K00000FiQwaUAF,7.84,7.840000,UPDATE,,
Price_List_Entry__c,ACC217 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asz8QAA,,a1W2K00000FiREnUAN,104.5,104.500000,UPDATE,,
Price_List_Entry__c,ACC217 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asz8QAA,,a1W2K00000FiREmUAN,81.4,81.400000,UPDATE,,
Price_List_Entry__c,ACC217 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asz8QAA,,a1W2K00000FiREkUAN,78.1,78.100000,UPDATE,,
Price_List_Entry__c,ACC217 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asz8QAA,,a1W2K00000FiRElUAN,73.52,73.520000,UPDATE,,
Price_List_Entry__c,ACC230 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arGBQAY,,a1W2K00000FiRBoUAN,28.6,28.600000,UPDATE,,
Price_List_Entry__c,ACC230 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arGBQAY,,a1W2K00000FiRBpUAN,22.0,22.000000,UPDATE,,
Price_List_Entry__c,ACC230 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arGBQAY,,a1W2K00000FiRBrUAN,20.9,20.900000,UPDATE,,
Price_List_Entry__c,ACC230 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arGBQAY,,a1W2K00000FiRBqUAN,19.76,19.760000,UPDATE,,
Price_List_Entry__c,ACC234 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asKmQAI,,a1W2K00000FiR8oUAF,9.34,9.340000,UPDATE,,
Price_List_Entry__c,ACC234 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asKmQAI,,a1W2K00000FiR8nUAF,7.16,7.160000,UPDATE,,
Price_List_Entry__c,ACC234 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asKmQAI,,a1W2K00000FiR8mUAF,6.82,6.820000,UPDATE,,
Price_List_Entry__c,ACC234 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asKmQAI,,a1W2K00000FiR8pUAF,6.67,6.670000,UPDATE,,
Price_List_Entry__c,ACC244 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arGCQAY,,a1W2K00000FiR8rUAF,4.64,4.640000,UPDATE,,
Price_List_Entry__c,ACC244 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arGCQAY,,a1W2K00000FiR8qUAF,3.66,3.660000,UPDATE,,
Price_List_Entry__c,ACC244 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arGCQAY,,a1W2K00000FiR8tUAF,3.48,3.480000,UPDATE,,
Price_List_Entry__c,ACC244 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arGCQAY,,a1W2K00000FiR8sUAF,3.3,3.300000,UPDATE,,
Price_List_Entry__c,ACC310VWC4 - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000ar0qQAA,,a1W2K00000GaZ2FUAV,194.0,194.000000,UPDATE,,
Price_List_Entry__c,ACC310VWC4 - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000ar0qQAA,,a1W2K00000GaZ2HUAV,153.0,153.000000,UPDATE,,
Price_List_Entry__c,ACC310VWC4 - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000ar0qQAA,,a1W2K00000GaZ2JUAV,145.0,145.000000,UPDATE,,
Price_List_Entry__c,ACC310VWC4 - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000ar0qQAA,,a1W2K00000GaZ2LUAV,137.0,137.000000,UPDATE,,
Price_List_Entry__c,ACC310VWC6 - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000arNCQAY,,a1W2K00000GaZ2GUAV,219.46,219.460000,UPDATE,,
Price_List_Entry__c,ACC310VWC6 - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000arNCQAY,,a1W2K00000GaZ2IUAV,180.73,180.730000,UPDATE,,
Price_List_Entry__c,ACC310VWC6 - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000arNCQAY,,a1W2K00000GaZ2KUAV,171.44,171.440000,UPDATE,,
Price_List_Entry__c,ACC310VWC6 - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000arNCQAY,,a1W2K00000GaZ2MUAV,162.67,162.670000,UPDATE,,
Price_List_Entry__c,ACC415 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arWtQAI,,a1W2K00000FiQrjUAF,14.66,14.660000,UPDATE,,
Price_List_Entry__c,ACC415 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arWtQAI,,a1W2K00000FiQwXUAV,11.58,11.580000,UPDATE,,
Price_List_Entry__c,ACC415 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arWtQAI,,a1W2K00000FiQsxUAF,11.0,11.000000,UPDATE,,
Price_List_Entry__c,ACC415 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arWtQAI,,a1W2K00000FiQp9UAF,10.45,10.450000,UPDATE,,
Price_List_Entry__c,ACC515 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000aqwuQAA,,a1W2K00000FiRHnUAN,113.0,113.000000,UPDATE,,
Price_List_Entry__c,ACC515 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000aqwuQAA,,a1W2K00000FiRHmUAN,90.0,90.000000,UPDATE,,
Price_List_Entry__c,ACC515 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000aqwuQAA,,a1W2K00000FiRHpUAN,85.0,85.000000,UPDATE,,
Price_List_Entry__c,ACC515 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000aqwuQAA,,a1W2K00000FiRHoUAN,81.0,81.000000,UPDATE,,
Price_List_Entry__c,ACC550 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000at8rQAA,,a1W2K00000FiRHsUAN,41.06,41.060000,UPDATE,,
Price_List_Entry__c,ACC550 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000at8rQAA,,a1W2K00000FiRHtUAN,32.42,32.420000,UPDATE,,
Price_List_Entry__c,ACC550 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000at8rQAA,,a1W2K00000FiRHrUAN,30.8,30.800000,UPDATE,,
Price_List_Entry__c,ACC550 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000at8rQAA,,a1W2K00000FiRHqUAN,29.26,29.260000,UPDATE,,
Price_List_Entry__c,ACC556 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000at4QQAQ,,a1W2K00000FiR68UAF,59.21,59.210000,UPDATE,,
Price_List_Entry__c,ACC556 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000at4QQAQ,,a1W2K00000FiR69UAF,46.74,46.740000,UPDATE,,
Price_List_Entry__c,ACC556 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000at4QQAQ,,a1W2K00000FiR6AUAV,44.41,44.410000,UPDATE,,
Price_List_Entry__c,ACC556 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000at4QQAQ,,a1W2K00000FiR67UAF,42.19,42.190000,UPDATE,,
Price_List_Entry__c,ACC557 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asNKQAY,,a1W2K00000FiR93UAF,47.75,47.750000,UPDATE,,
Price_List_Entry__c,ACC557 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asNKQAY,,a1W2K00000FiR92UAF,37.7,37.700000,UPDATE,,
Price_List_Entry__c,ACC557 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asNKQAY,,a1W2K00000FiR95UAF,35.81,35.810000,UPDATE,,
Price_List_Entry__c,ACC557 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asNKQAY,,a1W2K00000FiR94UAF,34.02,34.020000,UPDATE,,
Price_List_Entry__c,ACC558 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asNLQAY,,a1W2K00000FiRNnUAN,104.64,104.640000,UPDATE,,
Price_List_Entry__c,ACC558 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asNLQAY,,a1W2K00000FiRNoUAN,82.61,82.610000,UPDATE,,
Price_List_Entry__c,ACC558 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asNLQAY,,a1W2K00000FiRNmUAN,78.48,78.480000,UPDATE,,
Price_List_Entry__c,ACC558 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asNLQAY,,a1W2K00000FiRNpUAN,74.56,74.560000,UPDATE,,
Price_List_Entry__c,ACC559 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asNMQAY,,a1W2K00000FiRC9UAN,114.4,114.400000,UPDATE,,
Price_List_Entry__c,ACC559 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asNMQAY,,a1W2K00000FiRCAUA3,90.32,90.320000,UPDATE,,
Price_List_Entry__c,ACC559 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asNMQAY,,a1W2K00000FiRC8UAN,85.8,85.800000,UPDATE,,
Price_List_Entry__c,ACC559 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asNMQAY,,a1W2K00000FiRCBUA3,81.51,81.510000,UPDATE,,
Price_List_Entry__c,ACC560 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000atBCQAY,,a1W2K00000FiRTrUAN,27.86,27.860000,UPDATE,,
Price_List_Entry__c,ACC560 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000atBCQAY,,a1W2K00000FiRTpUAN,22.0,22.000000,UPDATE,,
