Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP622,KIP622,"22"" Portrait Wall Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000ba05QAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP622-BRONZE,KIP622-BRONZE,"22"" Portrait Wall Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000002g9unQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP632-S-BBB01,KIP632-S-BBB01,KIP632 with Scanner Holder,True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000assjQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP640-35D,KIP640-35D,"40"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9rQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP640-35D-S,KIP640-35D-S,"40"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9qQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP642-35D,KIP642-35D,"42"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9oQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP642-35D-S,KIP642-35D-S,"42"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9pQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP646-35D,KIP646-35D,"46"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9nQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP647-35D,KIP647-35D,"47"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9kQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP647-35D-S,KIP647-35D-S,"47"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9lQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP648-35D,KIP648-35D,"48"" Portrait Wall Kiosk - 3.5"" Deep Display",True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000at9jQAA
